year,film,winner
1948,A Letter to Three Wives,1
1948,Red River (1948 film),0
1948,The Snake Pit,0
1948,The Search,0
1949,All the King's Men (1949 film),1
1949,The Third Man,0
1949,Champion (1949 film),0
1949,Lost Boundaries,0
1950,All About Eve,1
1950,The Asphalt Jungle,0
1950,Father's Little Dividend,0
1950,Sunset Boulevard (film),0
1951,A Place in the Sun (film),1
1951,Death of a Salesman (1951 film),0
1951,Cyrano de Bergerac (1950 film),0
1951,Strangers on a Train (film),0
1951,A Streetcar Named Desire (1951 film),0
1951,David and Bathsheba (film),0
1951,Quo Vadis (1951 film),0
1951,Decision Before Dawn,0
1951,An American in Paris (film),0
1951,Show Boat (1951 film),0
1951,The Great Caruso,0
1951,Detective Story (1951 film),0
1952,The Quiet Man,1
1952,The Lavender Hill Mob,0
1952,Pat and Mike,0
1952,I'll See You in My Dreams (1951 film),0
1952,The Greatest Show on Earth (film),0
1952,My Six Convicts,0
1952,The Big Sky (film),0
1952,Viva Zapata!,0
1952,Singin' in the Rain,0
1952,The Snows of Kilimanjaro (1952 film),0
1952,Rashomon,0
1952,Pandora and the Flying Dutchman,0
1952,5 Fingers,0
1952,The Bad and the Beautiful,0
1952,Scaramouche (1952 film),0
1952,Ivanhoe (1952 film),0
1952,Hans Christian Andersen (film),0
1952,High Noon,0
1953,From Here to Eternity,1
1953,Above and Beyond (1952 film),0
1953,The Robe (film),0
1953,Call Me Madam (film),0
1953,Julius Caesar (1953 film),0
1953,"Come Back, Little Sheba (1952 film)",0
1953,Titanic (1953 film),0
1953,Young Bess,0
1953,Shane (film),0
1953,Lili,0
1953,Stalag 17,0
1953,Roman Holiday,0
1954,On the Waterfront,1
1954,A Star Is Born (1954 film),0
1954,The Caine Mutiny (film),0
1954,Seven Brides for Seven Brothers,0
1954,Knock on Wood (film),0
1954,Hell and High Water (1954 film),0
1954,Rear Window,0
1954,King of the Khyber Rifles (film),0
1954,The Glenn Miller Story,0
1954,Three Coins in the Fountain (film),0
1954,The Country Girl (1954 film),0
1954,Riot in Cell Block 11,0
1954,The High and the Mighty (film),0
1954,Executive Suite,0
1954,Sabrina (1954 film),0
1955,Marty (film),1
1955,Blackboard Jungle,0
1955,The Long Gray Line,0
1955,East of Eden (film),0
1955,A Man Called Peter,0
1955,Picnic (1955 film),0
1955,The Rose Tattoo (film),0
1955,The Bridges at Toko-Ri,0
1955,Bad Day at Black Rock,0
1955,Love Me or Leave Me (film),0
1955,The Seven Year Itch,0
1956,Giant (1956 film),1
1956,Around the World in 80 Days (1956 film),0
1956,Moby Dick (1956 film),0
1956,Bus Stop (1956 film),0
1956,The Teahouse of the August Moon (film),0
1956,War and Peace (1956 film),0
1956,Somebody Up There Likes Me (1956 film),0
1956,Friendly Persuasion (1956 film),0
1957,The Bridge on the River Kwai,1
1957,Les Girls,0
1957,Funny Face,0
1957,The Great Man,0
1957,"Heaven Knows, Mr. Allison",0
1957,A Face in the Crowd (film),0
1957,The Pride and the Passion,0
1957,Men in War,0
1957,An Affair to Remember,0
1957,Fear Strikes Out,0
1957,Gunfight at the O.K. Corral (film),0
1957,A Hatful of Rain,0
1958,Gigi (1958 film),1
1958,Damn Yankees (film),0
1958,The Brothers Karamazov (1958 film),0
1958,Cowboy (1958 film),0
1958,The Young Lions (film),0
1958,The Vikings (1958 film),0
1958,Vertigo (film),0
1958,"The Long, Hot Summer",0
1958,Teacher's Pet (1958 film),0
1958,The Big Country,0
1959,Ben-Hur (1959 film),1
1959,The Shaggy Dog (1959 film),0
1959,A Hole in the Head,0
1959,Compulsion (1959 film),0
1959,The Horse Soldiers,0
1959,Rio Bravo (film),0
1959,North by Northwest,0
1959,"Rally Round the Flag, Boys!",0
1959,Anatomy of a Murder,0
1959,Imitation of Life (1959 film),0
1959,The Diary of Anne Frank (1959 film),0
1959,Some Like It Hot,0
1959,The Nun's Story (film),0
1960,The Apartment,1
1960,Elmer Gantry (film),0
1960,Sunrise at Campobello,0
1960,Sink the Bismarck!,0
1960,Can-Can (film),0
1960,The Dark at the Top of the Stairs (film),0
1960,Our Man in Havana (film),0
1960,Hiroshima mon amour,0
1960,Please Don't Eat the Daisies (film),0
1961,West Side Story (1961 film),1
1961,One-Eyed Jacks,0
1961,Pocketful of Miracles,0
1961,The Innocents (1961 film),0
1961,Summer and Smoke (film),0
1961,The Misfits (1961 film),0
1961,Splendor in the Grass,0
1961,Flower Drum Song (film),0
1961,Judgment at Nuremberg,0
1961,Hand in Hand (film),0
1961,A Majority of One (film),0
1961,Fanny (1961 film),0
1961,El Cid (film),0
1961,The Great Impostor,0
1961,A Raisin in the Sun (1961 film),0
1961,The Absent-Minded Professor,0
1961,Romanoff and Juliet (1961 film),0
1961,The Children's Hour (film),0
1962,Lawrence of Arabia (film),1
1962,What Ever Happened to Baby Jane? (1962 film),0
1962,The Music Man (1962 film),0
1962,Lolita (1962 film),0
1962,Mutiny on the Bounty (1962 film),0
1962,To Kill a Mockingbird (film),0
1962,Requiem for a Heavyweight,0
1962,The Miracle Worker (1962 film),0
1962,A Taste of Honey (film),0
1963,Tom Jones (1963 film),1
1963,8½,0
1963,America America,0
1963,Lilies of the Field (1963 film),0
1963,Hud (1963 film),0
1964,My Fair Lady (film),1
1964,Becket (1964 film),0
1964,The Night of the Iguana (film),0
1964,Dr. Strangelove,0
1964,Mary Poppins (film),0
1965,The Sound of Music (film),1
1965,The Ipcress File (film),0
1965,The Pawnbroker (film),0
1965,Darling (1965 film),0
1965,Cat Ballou,0
1966,A Man for All Seasons (1966 film),1
1966,The Professionals (1966 film),0
1966,Grand Prix (1966 film),0
1966,Alfie (1966 film),0
1966,Born Free,0
1966,"The Russians Are Coming, the Russians Are Coming",0
1966,A Man and a Woman,0
1966,Georgy Girl,0
1966,Who's Afraid of Virginia Woolf? (film),0
1966,The Sand Pebbles (film),0
1967,The Graduate,1
1967,The Dirty Dozen,0
1967,In Cold Blood (film),0
1967,"To Sir, with Love",0
1967,Two for the Road (film),0
1967,In the Heat of the Night (film),0
1967,Guess Who's Coming to Dinner,0
1967,Bonnie and Clyde (film),0
1967,Cool Hand Luke,0
1967,Ulysses (1967 film),0
1968,The Lion in Winter (1968 film),1
1968,Isabel (film),0
1968,2001: A Space Odyssey (film),0
1968,Closely Watched Trains,0
1968,"Rachel, Rachel",0
1968,Rosemary's Baby (film),0
1968,Oliver! (film),0
1968,The Odd Couple (film),0
1968,Funny Girl (film),0
1968,Romeo and Juliet (1968 film),0
1969,Midnight Cowboy,1
1969,Oh! What a Lovely War,0
1969,Z (1969 film),0
1969,Butch Cassidy and the Sundance Kid,0
1969,Easy Rider,0
1969,"Hello, Dolly! (film)",0
1969,The Wild Bunch,0
1969,"Goodbye, Columbus (film)",0
1969,"They Shoot Horses, Don't They? (film)",0
1969,Medium Cool,0
1970,Patton (film),1
1970,MASH (film),0
1970,Love Story (1970 film),0
1970,Ryan's Daughter,0
1970,Five Easy Pieces,0
1971,The French Connection (film),1
1971,The Last Picture Show,0
1971,A Clockwork Orange (film),0
1971,Summer of '42,0
1971,Sunday Bloody Sunday (film),0
1972,The Godfather,1
1972,Deliverance,0
1972,Cabaret (1972 film),0
1972,Slaughterhouse-Five (film),0
1972,Sounder (film),0
1973,The Sting,1
1973,Last Tango in Paris,0
1973,The Exorcist (film),0
1973,American Graffiti,0
1973,Serpico,0
1974,The Godfather Part II,1
1974,The Conversation,0
1974,Lenny (film),0
1974,Murder on the Orient Express (1974 film),0
1974,Chinatown (1974 film),0
1975,One Flew Over the Cuckoo's Nest (film),1
1975,Nashville (film),0
1975,Barry Lyndon,0
1975,Dog Day Afternoon,0
1975,Jaws (film),0
1976,Rocky,1
1976,Network (1976 film),0
1976,All the President's Men (film),0
1976,Taxi Driver,0
1976,Seven Beauties,0
1977,Annie Hall,1
1977,Star Wars (film),0
1977,The Turning Point (1977 film),0
1977,Close Encounters of the Third Kind,0
1977,Julia (1977 film),0
1978,The Deer Hunter,1
1978,Coming Home (1978 film),0
1978,Heaven Can Wait (1978 film),0
1978,An Unmarried Woman,0
1978,Midnight Express (film),0
1979,Kramer vs. Kramer,1
1979,Manhattan (film),0
1979,The China Syndrome,0
1979,Apocalypse Now,0
1979,Breaking Away,0
1980,Ordinary People,1
1980,Coal Miner's Daughter (film),0
1980,The Elephant Man (film),0
1980,The Stunt Man,0
1980,Raging Bull,0
1981,Reds (film),1
1981,Chariots of Fire,0
1981,Atlantic City (1980 film),0
1981,On Golden Pond (1981 film),0
1981,Raiders of the Lost Ark,0
1982,Gandhi (film),1
1982,An Officer and a Gentleman,0
1982,Das Boot,0
1982,Tootsie,0
1982,E.T. the Extra-Terrestrial,0
1983,Terms of Endearment,1
1983,Tender Mercies,0
1983,Fanny and Alexander,0
1983,The Big Chill (film),0
1983,The Right Stuff (film),0
1984,Amadeus (film),1
1984,Places in the Heart,0
1984,A Soldier's Story,0
1984,The Killing Fields (film),0
1984,A Passage to India (film),0
1985,The Color Purple (film),1
1985,Cocoon (film),0
1985,Prizzi's Honor,0
1985,Out of Africa (film),0
1985,Witness (1985 film),0
1986,Platoon (film),1
1986,Hannah and Her Sisters,0
1986,Children of a Lesser God (film),0
1986,A Room with a View (1985 film),0
1986,Stand by Me (film),0
1987,The Last Emperor,1
1987,Broadcast News (film),0
1987,My Life as a Dog,0
1987,Fatal Attraction,0
1987,Empire of the Sun (film),0
1988,Rain Man,1
1988,A Fish Called Wanda,0
1988,Working Girl,0
1988,Mississippi Burning,0
1988,Who Framed Roger Rabbit,0
1989,Born on the Fourth of July (film),1
1989,Crimes and Misdemeanors,0
1989,When Harry Met Sally...,0
1989,Field of Dreams,0
1989,Dead Poets Society,0
1990,Dances with Wolves,1
1990,The Godfather Part III,0
1990,Avalon (1990 film),0
1990,Goodfellas,0
1990,Cinema Paradiso,0
1991,The Silence of the Lambs (film),1
1991,Bugsy,0
1991,Thelma & Louise,0
1991,JFK (film),0
1991,The Prince of Tides,0
1992,Unforgiven,1
1992,The Player (1992 film),0
1992,Howards End (film),0
1992,The Crying Game,0
1992,A Few Good Men,0
1993,Schindler's List,1
1993,The Piano,0
1993,The Fugitive (1993 film),0
1993,The Remains of the Day (film),0
1993,The Age of Innocence (1993 film),0
1994,Forrest Gump,1
1994,The Shawshank Redemption,0
1994,Four Weddings and a Funeral,0
1994,Quiz Show (film),0
1994,Pulp Fiction,0
1995,Apollo 13 (film),1
1995,Leaving Las Vegas,0
1995,Braveheart,0
1995,Sense and Sensibility (film),0
1995,Il Postino: The Postman,0
1996,The English Patient (film),1
1996,Fargo (film),0
1996,Jerry Maguire,0
1996,Shine (film),0
1996,Secrets & Lies (film),0
1997,Titanic (1997 film),1
1997,As Good as It Gets,0
1997,L.A. Confidential (film),0
1997,Amistad (film),0
1997,Good Will Hunting,0
1998,Saving Private Ryan,1
1998,Life Is Beautiful,0
1998,Shakespeare in Love,0
1998,The Thin Red Line (1998 film),0
1998,The Truman Show,0
1999,American Beauty (1999 film),1
1999,The Green Mile (film),0
1999,Being John Malkovich,0
1999,The Insider (film),0
1999,The Sixth Sense,0
2000,"Crouching Tiger, Hidden Dragon",1
2000,Almost Famous,0
2000,Gladiator (2000 film),0
2000,Erin Brockovich (film),0
2000,Traffic (2000 film),0
2001,A Beautiful Mind (film),1
2001,The Lord of the Rings: The Fellowship of the Ring,0
2001,Moulin Rouge!,0
2001,Memento (film),0
2001,Black Hawk Down (film),0
2002,Chicago (2002 film),1
2002,The Hours (film),0
2002,The Lord of the Rings: The Two Towers,0
2002,The Pianist (2002 film),0
2002,Gangs of New York,0
2003,The Lord of the Rings: The Return of the King,1
2003,Lost in Translation (film),0
2003,Mystic River (film),0
2003,Seabiscuit (film),0
2003,Master and Commander: The Far Side of the World,0
2004,Million Dollar Baby,1
2004,Finding Neverland (film),0
2004,Ray (film),0
2004,Sideways,0
2004,The Aviator (2004 film),0
2005,Brokeback Mountain,1
2005,"Good Night, and Good Luck",0
2005,Crash (2004 film),0
2005,Capote (film),0
2005,Munich (film),0
2006,The Departed,1
2006,Dreamgirls (film),0
2006,Little Miss Sunshine,0
2006,The Queen (2006 film),0
2006,Babel (film),0
2007,No Country for Old Men (film),1
2007,There Will Be Blood,0
2007,Michael Clayton (film),0
2007,Into the Wild (film),0
2007,The Diving Bell and the Butterfly (film),0
2008,Slumdog Millionaire,1
2008,The Curious Case of Benjamin Button (film),0
2008,Frost/Nixon (film),0
2008,The Dark Knight (film),0
2008,Milk (film),0
2009,The Hurt Locker,1
2009,Avatar (2009 film),0
2009,Precious (film),0
2009,Up in the Air (2009 film),0
2009,Inglourious Basterds,0
2010,The King's Speech,1
2010,Black Swan (film),0
2010,The Social Network,0
2010,Inception,0
2010,The Fighter,0
2011,The Artist (film),1
2011,Midnight in Paris,0
2011,The Girl with the Dragon Tattoo (2011 film),0
2011,The Descendants,0
2011,Hugo (film),0
2012,Argo (2012 film),1
2012,Zero Dark Thirty,0
2012,Les Misérables (2012 film),0
2012,Life of Pi (film),0
2012,Lincoln (film),0
2013,Gravity (2013 film),1
2013,Captain Phillips (film),0
2013,12 Years a Slave (film),0
2013,American Hustle,0
2013,The Wolf of Wall Street (2013 film),0
2014,Birdman (film),1
2014,The Grand Budapest Hotel,0
2014,American Sniper,0
2014,Boyhood (film),0
2014,The Imitation Game,0
2015,The Revenant (2015 film),1
2015,Spotlight (film),0
2015,The Big Short (film),0
2015,Mad Max: Fury Road,0
2015,The Martian (film),0
2016,La La Land (film),1
2016,Lion (2016 film),0
2016,Moonlight (2016 film),0
2016,Manchester by the Sea (film),0
2016,Arrival (film),0
2017,The Shape of Water (film),1
2017,Lady Bird (film),0
2017,"Three Billboards Outside Ebbing, Missouri",0
2017,Dunkirk (2017 film),0
2017,Get Out,0
2018,Roma (2018 film),1
2018,A Star Is Born (2018 film),0
2018,Green Book (film),0
2018,BlacKkKlansman,0
2018,Vice (2018 film),0
2019,1917 (2019 film),1
2019,Parasite (2019 film),0
2019,The Irishman,0
2019,Once Upon a Time in Hollywood,0
2019,Jojo Rabbit,0
