year,film,winner
1951,An American in Paris (film),1
1952,With a Song in My Heart (film),1
1952,Hans Christian Andersen (film),0
1952,I'll See You in My Dreams (1951 film),0
1952,Singin' in the Rain,0
1952,Stars and Stripes Forever (film),0
1954,Carmen Jones (film),1
1955,Guys and Dolls (film),1
1956,The King and I (1956 film),1
1956,Bus Stop (1956 film),0
1956,The Opposite Sex,0
1956,The Solid Gold Cadillac,0
1956,The Teahouse of the August Moon (film),0
1957,Les Girls,1
1957,Don't Go Near the Water (film),0
1957,Love in the Afternoon (1957 film),0
1957,Pal Joey (film),0
1957,Silk Stockings (1957 film),0
1957,"Bell, Book and Candle (film)",0
1957,Indiscreet (1958 film),0
1957,Me and the Colonel,0
1957,The Perfect Furlough,0
1957,But Not for Me (1959 film),0
1957,Operation Petticoat,0
1957,Pillow Talk (film),0
1957,Who Was That Lady?,0
1957,The Facts of Life (film),0
1957,The Grass Is Greener,0
1957,It Started in Naples,0
1957,Our Man in Havana (film),0
1957,Breakfast at Tiffany's (film),0
1957,"One, Two, Three",0
1957,The Parent Trap (1961 film),0
1957,Pocketful of Miracles,0
1957,The Best of Enemies (1961 film),0
1957,Boys' Night Out (film),0
1957,If a Man Answers,0
1957,Period of Adjustment (film),0
1963,Tom Jones (1963 film),1
1963,Bye Bye Birdie (film),0
1963,Irma la Douce,0
1963,"It's a Mad, Mad, Mad, Mad World",0
1963,A Ticklish Affair,0
1963,Under the Yum Yum Tree,0
1964,My Fair Lady (film),1
1964,Father Goose (film),0
1964,Mary Poppins (film),0
1964,The Unsinkable Molly Brown (film),0
1964,The World of Henry Orient,0
1965,The Sound of Music (film),1
1965,Cat Ballou,0
1965,The Great Race,0
1965,Those Magnificent Men in their Flying Machines,0
1965,A Thousand Clowns,0
1966,"The Russians Are Coming, the Russians Are Coming",1
1966,A Funny Thing Happened on the Way to the Forum (film),0
1966,Gambit (1966 film),0
1966,"Not with My Wife, You Don't!",0
1966,You're a Big Boy Now,0
1967,The Graduate,1
1967,Camelot (film),0
1967,Doctor Dolittle (1967 film),0
1967,The Taming of the Shrew (1967 film),0
1967,Thoroughly Modern Millie,0
