year,film,winner
1989,Driving Miss Daisy,1
1990,Dances with Wolves,1
1991,The Silence of the Lambs (film),1
1991,At Play in the Fields of the Lord,0
1991,Boyz n the Hood,0
1991,The Commitments (film),0
1991,JFK (film),0
1991,The Prince of Tides,0
1992,The Crying Game,1
1992,A Few Good Men,0
1992,Howards End (film),0
1992,Scent of a Woman (1992 film),0
1992,Unforgiven,0
1993,Schindler's List,1
1993,The Fugitive (1993 film),0
1993,In the Name of the Father (film),0
1993,The Piano,0
1993,The Remains of the Day (film),0
1994,Forrest Gump,1
1994,Four Weddings and a Funeral,0
1994,Pulp Fiction,0
1994,Quiz Show (film),0
1994,The Shawshank Redemption,0
1995,Apollo 13 (film),1
1996,The English Patient (film),1
1996,Fargo (film),0
1996,Hamlet (1996 film),0
1996,The People vs. Larry Flynt,0
1996,Shine (film),0
1997,Titanic (1997 film),1
1997,Amistad (film),0
1997,As Good as It Gets,0
1997,Good Will Hunting,0
1997,L.A. Confidential (film),0
1998,Saving Private Ryan,1
1998,Gods and Monsters (film),0
1998,Life Is Beautiful,0
1998,Shakespeare in Love,0
1998,Waking Ned,0
1999,American Beauty (1999 film),1
1999,Being John Malkovich,0
1999,The Cider House Rules (film),0
1999,The Hurricane (1999 film),0
1999,The Insider (film),0
2000,Gladiator (2000 film),1
2000,Almost Famous,0
2000,Billy Elliot,0
2000,"Crouching Tiger, Hidden Dragon",0
2000,Erin Brockovich (film),0
2001,Moulin Rouge!,1
2001,A Beautiful Mind (film),0
2001,Harry Potter and the Philosopher's Stone (film),0
2001,The Lord of the Rings: The Fellowship of the Ring,0
2001,Shrek,0
2002,Chicago (2002 film),1
2002,Adaptation (film),0
2002,Gangs of New York,0
2002,The Lord of the Rings: The Two Towers,0
2002,My Big Fat Greek Wedding,0
2002,Road to Perdition,0
2003,The Lord of the Rings: The Return of the King,1
2003,Cold Mountain (film),0
2003,The Last Samurai,0
2003,Master and Commander: The Far Side of the World,0
2003,Mystic River (film),0
2003,Seabiscuit (film),0
2004,The Aviator (2004 film),1
2004,Finding Neverland (film),0
2004,The Incredibles,0
2004,Million Dollar Baby,0
2004,Sideways,0
2005,Brokeback Mountain,1
2005,Capote (film),0
2005,Crash (2004 film),0
2005,"Good Night, and Good Luck",0
2005,Walk the Line,0
2006,Little Miss Sunshine,1
2006,Babel (film),0
2006,The Departed,0
2006,Dreamgirls (film),0
2006,The Queen (2006 film),0
2007,No Country for Old Men (film),1
2007,The Diving Bell and the Butterfly (film),0
2007,Juno (film),0
2007,Michael Clayton (film),0
2007,There Will Be Blood,0
2008,Slumdog Millionaire,1
2008,The Curious Case of Benjamin Button (film),0
2008,The Dark Knight (film),0
2008,Frost/Nixon (film),0
2008,Milk (film),0
2009,The Hurt Locker,1
2009,Avatar (2009 film),0
2009,District 9,0
2009,An Education,0
2009,Inglourious Basterds,0
2009,Invictus (film),0
2009,Precious (film),0
2009,Star Trek (film),0
2009,Up (2009 film),0
2009,Up in the Air (2009 film),0
2010,The King's Speech,1
2010,127 Hours,0
2010,Black Swan (film),0
2010,The Fighter,0
2010,Inception,0
2010,The Kids Are All Right (film),0
2010,The Social Network,0
2010,The Town (2010 film),0
2010,Toy Story 3,0
2010,True Grit (2010 film),0
2011,The Artist (film),1
2011,Bridesmaids (2011 film),0
2011,The Descendants,0
2011,The Girl with the Dragon Tattoo (2011 film),0
2011,The Help (film),0
2011,Hugo (film),0
2011,The Ides of March (2011 film),0
2011,Midnight in Paris,0
2011,Moneyball (film),0
2011,War Horse (film),0
2012,Argo (2012 film),1
2012,Beasts of the Southern Wild,0
2012,Django Unchained,0
2012,Les Misérables (2012 film),0
2012,Life of Pi (film),0
2012,Lincoln (film),0
2012,Moonrise Kingdom,0
2012,Silver Linings Playbook,0
2012,Skyfall,0
2012,Zero Dark Thirty,0
2013,12 Years a Slave (film),1
2013,Gravity (2013 film),1
2013,American Hustle,0
2013,Blue Jasmine,0
2013,Captain Phillips (film),0
2013,Dallas Buyers Club,0
2013,Her (film),0
2013,Nebraska (film),0
2013,Saving Mr. Banks,0
2013,The Wolf of Wall Street (2013 film),0
2014,Birdman (film),1
2014,American Sniper,0
2014,Boyhood (film),0
2014,Foxcatcher,0
2014,Gone Girl (film),0
